Time	Event
3422	:
3422	b,H 01
8884	adap/G,b,S-Hand
8920	adap/G,e,S-Hand
26413	WINDOWS,b,
28428	e,H 01
28520	b,G 01
29340	e,G 01
30300	b,H 02
32297	WINDOWS,e,
42920	WINDOWS,b,
44920	e,H 02
45020	b,G 02
45440	e,G 02
45800	b,H 03
47804	WINDOWS,e,
49920	WINDOWS,b,
51920	e,H 03
52100	b,G 03
54094	WINDOWS,e,
83717	WINDOWS,b,
85720	e,G 03
85960	b,H 04
89040	e,H 04
89310	b,G 04
91311	WINDOWS,e,
113340	WINDOWS,b,
115320	e,G 04
115846	b,H 05
117847	WINDOWS,e,
120383	WINDOWS,b,
121380	b,G 05
122380	e,H 05
123383	WINDOWS,e,
125731	WINDOWS,b,
127720	e,G 05
128082	b,H 06
130079	WINDOWS,e,
132195	WINDOWS,b,
133840	b,G 06
134200	e,H 06
135847	WINDOWS,e,
161702	WINDOWS,b,
162960	AdapRight,b, S-Leg
162960	A Guest Speaking,b,S-Leg t6 t7
162960	adap/G,b,S-Leg
162983	AdapRight,e, S-Leg
162983	A Guest Speaking,e,S-Leg t6 t7
162983	adap/G,e,S-Leg
163700	e,G 06
164064	b,H 07
166108	WINDOWS,e,
166282	WINDOWS,b,
168260	e,H 07
168620	b,G 07
170644	WINDOWS,e,
175499	WINDOWS,b,
177481	e,G 07
177660	b,H 08
178180	e,H 08
178243	b,G 08
180267	WINDOWS,e,
185032	A Guest Speaking,b,S-Hand t10
185032	adap/G,b,S-Hand
185060	A Guest Speaking,e,S-Hand t10
185060	adap/G,e,S-Hand
186644	WINDOWS,b,
188640	e,G 08
189200	b,H 09
191080	e,H 09
192100	b,G 09
194093	WINDOWS,e,
208151	WINDOWS,b,
208260	AdapRight,b, S-Leg + S-Hand
208260	A Guest Speaking,b,S-Leg + S-Hand t11
208260	adap/G,b,S-Leg + S-Hand
208278	AdapRight,e, S-Leg + S-Hand
208278	A Guest Speaking,e,S-Leg + S-Hand t11
208278	adap/G,e,S-Leg + S-Hand
210140	e,G 09
210560	b,H 10
212571	WINDOWS,e,
218803	WINDOWS,b,
220820	e,H 10
221320	b,G 10
223310	WINDOWS,e,
245136	WINDOWS,b,
247120	e,G 10
248300	b,H 11
250760	e,H 11
251332	b,G 11
253368	WINDOWS,e,
267484	WINDOWS,b,
269442	e,G 11
269980	b,H 12
272006	WINDOWS,e,
279716	WINDOWS,b,
281700	e,H 12
282919	b,G 12
284948	WINDOWS,e,
311035	WINDOWS,b,
313020	e,G 12
313416	b,H 13
315426	WINDOWS,e,
325035	WINDOWS,b,
325700	b,G 13
327000	e,H 13
327687	WINDOWS,e,
343035	WINDOWS,b,
345020	e,G 13
346780	b,H 14
348803	WINDOWS,e,
353745	WINDOWS,b,
355234	b,G 14
355761	e,H 14
357223	WINDOWS,e,
396078	WINDOWS,b,
398080	e,G 14
398495	b,H 15
400498	WINDOWS,e,
404034	WINDOWS,b,
404880	b,G 15
406000	e,H 15
406800	e,G 15
406904	b,H 16
407680	e,H 16
407940	b,G 16
409947	WINDOWS,e,
420802	WINDOWS,b,
422780	e,G 16
423530	b,H 17
425570	WINDOWS,e,
437570	WINDOWS,b,
439540	e,H 17
439740	b,G 17
441773	WINDOWS,e,
498831	WINDOWS,b,
500820	e,G 17
501853	b,H 18
503889	WINDOWS,e,
515483	WINDOWS,b,
517480	e,H 18
518540	b,G 18
520541	WINDOWS,e,
555309	WINDOWS,b,
557300	e,G 18
558260	b,H 19
560251	WINDOWS,e,
562632	A Host Speaking,b,S-Face t21
562632	adap/H,b,S-Face
562651	A Host Speaking,e,S-Face t21
562651	adap/H,e,S-Face
569048	WINDOWS,b,
571040	e,H 19
571089	b,G 19
573106	WINDOWS,e,
591541	WINDOWS,b,
593520	e,G 19
593740	b,H 20
595200	b,G 20
595440	e,H 20
598280	e,G 20
598801	b,H 21
600831	WINDOWS,e,
604773	WINDOWS,b,
606740	e,H 21
606860	b,G 21
608889	WINDOWS,e,
630299	A Guest Speaking,b,S-Hand t23
630299	adap/G,b,S-Hand
630330	A Guest Speaking,e,S-Hand t23
630330	adap/G,e,S-Hand
656309	WINDOWS,b,
657860	b,H 22
658320	e,G 21
659000	b,G 22
659500	e,H 22
661019	WINDOWS,e,
689164	WINDOWS,b,
691140	e,G 22
691586	b,H 23
694000	b,G 23
694160	e,H 23
695760	e,G 23
695775	b,H 24
697787	WINDOWS,e,
701120	WINDOWS,b,
702680	AdapRight,b, S-Hand
702680	adap/G,b,S-Hand
702710	AdapRight,e, S-Hand
702710	adap/G,e,S-Hand
702757	b,G 24
703100	e,H 24
704440	e,G 24
704480	b,H 25
706060	b,G 25
706180	e,H 25
707155	e,G 25
707170	b,H 26
709178	WINDOWS,e,
714033	WINDOWS,b,
716020	e,H 26
716120	b,G 26
716888	WINDOWS,e,
716900	e,G 26
716900	&
