Time	Event
3570	:
3570	Adap/G,b,S-Head
3591	Adap/G,e,S-Head
5360	b,H 01
6160	Adap/H,b,UM
6160	A Host Speaking,b,UM t1
6173	Adap/H,e,UM
6173	A Host Speaking,e,UM t1
27300	Adap/G,b,UM
27336	Adap/G,e,UM
28875	WINDOWS,b,
29750	Adap/G,b,S-Head
29750	AdapRight,b, S-Head
29785	Adap/G,e,S-Head
29785	AdapRight,e, S-Head
30890	e,H 01
31220	b,G 01
32310	e,G 01
32530	b,H 02
34530	WINDOWS,e,
43650	WINDOWS,b,
45630	e,H 02
46014	b,G 02
47010	e,G 02
47260	b,H 03
49265	WINDOWS,e,
52147	WINDOWS,b,
52270	Adap/H,b,OM
52270	AdapLeft,b, OM
52270	A Host Speaking,b,OM t3
52316	Adap/H,e,OM
52316	AdapLeft,e, OM
52316	A Host Speaking,e,OM t3
54110	e,H 03
55910	b,G 03
57934	WINDOWS,e,
58090	Adap/G,b,UM
58090	A Guest Speaking,b,UM t3
58102	Adap/G,e,UM
58102	A Guest Speaking,e,UM t3
141090	Adap/H,b,UM
141122	Adap/H,e,UM
151420	Adap/G,b,UM
151420	A Guest Speaking,b,UM t3
151459	Adap/G,e,UM
151459	A Guest Speaking,e,UM t3
179467	WINDOWS,b,
180330	b,H 04
181440	e,G 03
182347	WINDOWS,e,
183147	WINDOWS,b,
185110	e,H 04
185410	Adap/G,b,UM
185410	AdapRight,b, UM
185428	Adap/G,e,UM
185428	AdapRight,e, UM
185445	b,G 04
187467	WINDOWS,e,
198210	Adap/G,b,UM
198210	A Guest Speaking,b,UM t4
198244	Adap/G,e,UM
198244	A Guest Speaking,e,UM t4
208260	Adap/G,b,UM
208260	A Guest Speaking,b,UM t4
208275	Adap/G,e,UM
208275	A Guest Speaking,e,UM t4
245540	Adap/G,b,UM
245540	A Guest Speaking,b,UM t4
245561	Adap/G,e,UM
245561	A Guest Speaking,e,UM t4
253210	Adap/H,b,OM
253244	Adap/H,e,OM
255340	Adap/G,b,UM
255340	A Guest Speaking,b,UM t4
255387	Adap/G,e,UM
255387	A Guest Speaking,e,UM t4
259467	WINDOWS,b,
261480	e,G 04
261840	b,H 05
263867	WINDOWS,e,
266900	Adap/G,b,S-Head
266948	Adap/G,e,S-Head
279107	WINDOWS,b,
281100	e,H 05
282500	b,G 05
284507	WINDOWS,e,
294355	Adap/H,b,OM
294377	Adap/H,e,OM
297175	Adap/G,b,UM
297175	A Guest Speaking,b,UM t5 t5
297204	Adap/G,e,UM
297204	A Guest Speaking,e,UM t5 t5
322880	Adap/G,b,UM
322880	A Guest Speaking,b,UM t5 t5
322908	Adap/G,e,UM
322908	A Guest Speaking,e,UM t5 t5
333940	Adap/H,b,OM
333969	Adap/H,e,OM
337400	WINDOWS,b,
339390	e,G 05
339900	b,H 06
341920	WINDOWS,e,
351666	WINDOWS,b,
353650	e,H 06
354830	b,G 06
356828	WINDOWS,e,
374120	Adap/H,b,UM
374132	Adap/H,e,UM
