Time	Event
3040	:
3040	b,H 01
13976	Adap/G,b,UM
13990	Adap/G,e,UM
20486	WINDOWS,b,
22470	e,H 01
22640	b,G 01
22950	e,G 01
23620	b,H 02
25606	WINDOWS,e,
34206	WINDOWS,b,
36210	e,H 02
36990	b,G 02
37290	e,G 02
37500	b,H 03
39499	WINDOWS,e,
40376	Adap/G,b,S-Hand
40400	Adap/G,e,S-Hand
40885	WINDOWS,b,  
42890	e,H 03
47910	b,G 03
49750	Adap/G,b,UM
49750	AdapRight,b,   UM
49750	A Guest Speaking,b,UM t3
49790	Adap/G,e,UM
49790	AdapRight,e,   UM
49790	A Guest Speaking,e,UM t3
50640	e,G 03
50850	b,H 04
51300	e,H 04
54020	b,G 04
56400	e,G 04
56720	b,H 05
58210	e,H 05
58327	b,G 05
60500	Adap/G,b,UM
60500	AdapRight,b,   UM
60500	A Guest Speaking,b,UM t5
60530	Adap/G,e,UM
60530	AdapRight,e,   UM
60530	A Guest Speaking,e,UM t5
62110	e,G 05
62280	b,H 06
62500	e,H 06
65010	b,G 06
66720	e,G 06
67400	b,H 07
69422	WINDOWS,e,  
69777	WINDOWS,b,
70500	Adap/G,b,UM
70500	AdapRight,b, UM
70540	Adap/G,e,UM
70540	AdapRight,e, UM
71740	e,H 07
72110	b,G 07
74136	WINDOWS,e,
85610	Adap/G,b,UM
85610	A Guest Speaking,b,UM t7 t8 t9
85640	Adap/G,e,UM
85640	A Guest Speaking,e,UM t7 t8 t9
87349	WINDOWS,b,
89334	e,G 07
89920	b,H 08
91936	WINDOWS,e,
93522	WINDOWS,b,
95500	b,G 08
95520	e,H 08
97509	WINDOWS,e,
98429	WINDOWS,b,
98720	b,H 09
98930	Adap/G,b,UM
98930	AdapRight,b, UM
98930	A Guest Speaking,b,UM t10
98950	Adap/G,e,UM
98950	AdapRight,e, UM
98950	A Guest Speaking,e,UM t10
100430	e,G 08
101110	e,H 09
101810	b,G 09
101900	Adap/G,b,UM
101900	AdapRight,b, UM
101900	A Guest Speaking,b,UM t11
101930	Adap/G,e,UM
101930	AdapRight,e, UM
101930	A Guest Speaking,e,UM t11
102170	e,G 09
102420	b,H 10
104429	WINDOWS,e,
126762	WINDOWS,b,
128740	e,H 10
129200	b,G 10
129384	Adap/G,b,S-Lower torso
129384	AdapRight,b, S-Lower torso
129384	A Guest Speaking,b,S-Lower torso t14
129400	Adap/G,e,S-Lower torso
129400	AdapRight,e, S-Lower torso
129400	A Guest Speaking,e,S-Lower torso t14
131215	WINDOWS,e,
133655	WINDOWS,b,
135647	e,G 10
136330	b,H 11
136810	e,H 11
137000	b,G 11
139042	WINDOWS,e,
150295	WINDOWS,b,
152274	e,G 11
155220	b,H 12
157256	e,H 12
157530	b,G 12
159100	b,H 13
160680	e,G 12
161288	e,H 13
162110	b,G 13
162600	e,G 13
162910	b,H 14
163520	b,G 14
163801	e,H 14
164625	Adap/H,b,S-Face
164625	AdapLeft,b, S-Face
164670	Adap/H,e,S-Face
164670	AdapLeft,e, S-Face
166130	e,G 14
166630	b,H 15
