Time	Event
4890	:
4890	b,H 01
5542	Adap/G,b,UM
5580	Adap/G,e,UM
15003	Adap/G,b,UM
15050	Adap/G,e,UM
29597	WINDOWS,b,
31570	e,H 01
31810	b,G 01
32090	e,G 01
32690	b,H 02
34717	WINDOWS,e,
36648	Adap/G,b,UM
36680	Adap/G,e,UM
41317	WINDOWS,b,
43280	e,H 02
43350	b,G 02
43940	e,G 02
44240	b,H 03
45340	e,H 03
45840	b,G 03
46374	e,G 03
46640	b,H 04
48666	WINDOWS,e,
54066	WINDOWS,b,
56050	e,H 04
57380	b,G 04
59385	WINDOWS,e,
62153	WINDOWS,b,
64125	e,G 04
64210	b,H 05
66440	b,G 05
66480	e,H 05
68443	WINDOWS,e,
75472	WINDOWS,b,
77470	e,G 05
77951	b,H 06
79965	WINDOWS,e,
88516	WINDOWS,b,
90520	e,H 06
91200	b,G 06
91784	Adap/G,b,UM
91784	AdapRight,b, UM
91784	A Guest Speaking,b,UM t5
91840	Adap/G,e,UM
91840	AdapRight,e, UM
91840	A Guest Speaking,e,UM t5
93197	WINDOWS,e,
105110	WINDOWS,b,
107110	e,G 06
107500	b,H 07
111255	e,H 07
111309	b,G 07
113342	WINDOWS,e,
116313	WINDOWS,b, 
118290	e,G 07
118510	b,H 08
121870	b,G 08
122210	e,H 08
122240	e,G 08
122432	b,H 09
123000	e,H 09
123920	b,G 09
125936	WINDOWS,e, 
127900	WINDOWS,b,
129860	e,G 09
130040	b,H 10
132074	WINDOWS,e,
135997	Adap/G,b,S-Head
136010	Adap/G,e,S-Head
144813	WINDOWS,b,
146790	e,H 10
147540	b,G 10
148526	e,G 10
148830	b,H 11
149410	e,H 11
150210	b,G 11
152248	WINDOWS,e,
167045	WINDOWS,b,
169049	e,G 11
169180	b,H 12
171190	WINDOWS,e,
181045	WINDOWS,b,
183030	e,H 12
183060	b,G 12
185074	WINDOWS,e,
197556	Adap/G,b,S-Neck
197556	A Guest Speaking,b,S-Neck t11
197610	Adap/G,e,S-Neck
197610	A Guest Speaking,e,S-Neck t11
206726	WINDOWS,b,
208720	e,G 12
208770	b,H 13
210784	WINDOWS,e,
211132	WINDOWS,b,
213000	b,G 13
213090	e,H 13
215016	WINDOWS,e,
221190	WINDOWS,b,
223160	e,G 13
223770	b,H 14
225784	WINDOWS,e,
227465	WINDOWS,b,
229469	e,H 14
231710	b,G 14
233755	WINDOWS,e,
259074	WINDOWS,b,
261040	e,G 14
263360	b,H 15
264020	e,H 15
