Time	Event
3890	:
3890	b,H 01
21981	WINDOWS,b,
23980	e,H 01
24300	b,G 01
25185	e,G 01
25488	b,H 02
27472	WINDOWS,e,
32512	WINDOWS,b,
34500	e,H 02
34676	b,G 02
35274	e,G 02
35380	b,H 03
36670	Adap/G,b,UM
36670	AdapRight,b, UM
36695	Adap/G,e,UM
36695	AdapRight,e, UM
36854	e,H 03
36940	b,G 03
38113	e,G 03
38240	b,H 04
40243	WINDOWS,e,
41534	WINDOWS,b,
43501	e,H 04
44150	b,G 04
46186	WINDOWS,e,
62693	WINDOWS,b,
64700	e,G 04
65450	b,H 05
67461	WINDOWS,e,
70200	WINDOWS,b,
72070	b,G 05
72190	e,H 05
74550	e,G 05
74750	b,H 06
76751	WINDOWS,e,
80870	Adap/G,b,OM
80896	Adap/G,e,OM
83838	WINDOWS,b,
85800	e,H 06
85870	b,G 06
86130	e,G 06
86850	b,H 07
90480	b,G 07
90540	e,H 07
92490	WINDOWS,e,
106229	WINDOWS,b,
108210	e,G 07
108620	b,H 08
112100	e,H 08
112207	b,G 08
113900	e,G 08
114136	b,H 09
116142	WINDOWS,e,
117316	WINDOWS,b,
119300	e,H 09
119700	b,G 09
120410	b,H 10
120474	e,G 09
123380	e,H 10
123860	b,G 10
125881	WINDOWS,e,
144490	Adap/G,b,S-Lower torso
144490	A Guest Speaking,b,S-Lower torso t12
144515	Adap/G,e,S-Lower torso
144515	A Guest Speaking,e,S-Lower torso t12
163510	Adap/G,b,S-Arm
163510	A Guest Speaking,b,S-Arm t12
163534	Adap/G,e,S-Arm
163534	A Guest Speaking,e,S-Arm t12
164113	WINDOWS,b,
166065	e,G 10
166510	b,H 11
168533	WINDOWS,e,
178113	WINDOWS,b,
180080	e,H 11
180300	b,G 11
182345	WINDOWS,e,
187374	WINDOWS,b,
189345	e,G 11
189680	b,H 12
191722	WINDOWS,e,
206490	WINDOWS,b,
208486	e,H 12
209188	b,G 12
211200	WINDOWS,e,
215997	WINDOWS,b,
217864	b,H 13
217996	e,G 12
219040	e,H 13
220130	b,G 13
222142	WINDOWS,e,
226345	WINDOWS,b,
228340	e,G 13
228470	b,H 14
228938	e,H 14
229210	b,G 14
231229	WINDOWS,e,
233142	WINDOWS,b,
235120	e,G 14
235240	b,H 15
236470	e,H 15
237380	b,G 15
239403	WINDOWS,e,
247490	WINDOWS,b, 
249460	e,G 15
249610	b,H 16
253454	b,G 16
253570	e,H 16
254019	e,G 16
254090	b,H 17
255587	e,H 17
255821	b,G 17
256080	e,G 17
256840	b,H 18
258867	WINDOWS,e, 
261273	WINDOWS,b,
263250	e,H 18
264480	b,G 18
267740	b,H 19
267870	Adap/G,b,OM
267870	AdapRight,b, OM
267870	A Guest Speaking,b,OM t20
267900	Adap/G,e,OM
267900	AdapRight,e, OM
267900	A Guest Speaking,e,OM t20
267966	e,G 18
268379	e,H 19
268535	b,G 19
268631	Adap/G,b,S-Arm
268631	AdapRight,b, S-Arm
268631	A Guest Speaking,b,S-Arm t21
268656	Adap/G,e,S-Arm
268656	AdapRight,e, S-Arm
268656	A Guest Speaking,e,S-Arm t21
269708	e,G 19
269890	b,H 20
272177	e,H 20
272256	b,G 20
274273	WINDOWS,e,
288273	WINDOWS,b,
290250	e,G 20
290301	b,H 21
292237	b,G 21
293200	e,H 21
293750	e,G 21
293970	b,H 22
295230	e,H 22
295711	b,G 22
299227	e,G 22
299720	b,H 23
301737	WINDOWS,e,
311911	WINDOWS,b,
313903	e,H 23
314600	b,G 23
316607	WINDOWS,e,
322303	WINDOWS,b,
324320	e,G 23
324580	b,H 24
324830	Adap/G,b,UM
324830	AdapRight,b, UM
324855	Adap/G,e,UM
324855	AdapRight,e, UM
325010	e,H 24
325780	b,G 24
327781	WINDOWS,e,
353288	WINDOWS,b,
355121	b,H 25
355269	e,G 24
