Time	Event
3594	:
3594	b,H 01
20386	WINDOWS,b,
22351	e,H 01
22540	b,G 01
22945	e,G 01
23486	b,H 02
25521	WINDOWS,e,
26363	WINDOWS,b,
27810	b,G 02
28324	e,H 02
28486	e,G 02
29081	b,H 03
30297	e,H 03
30929	b,G 03
33068	b,H 04
33108	e,G 03
35070	WINDOWS,e,
35510	WINDOWS,b,
37486	e,H 04
38810	b,G 04
40830	WINDOWS,e,
46251	WINDOWS,b,
48243	e,G 04
48540	b,H 05
50351	e,H 05
50864	b,G 05
52891	WINDOWS,e,
72384	WINDOWS,b,
74378	e,G 05
75621	b,H 06
77630	WINDOWS,e,
90067	WINDOWS,b,
92027	e,H 06
93405	b,G 06
95427	WINDOWS,e,
104157	WINDOWS,b,
106135	e,G 06
106690	b,H 07
108724	WINDOWS,e,
110157	WINDOWS,b,
112130	e,H 07
112378	b,G 07
113378	e,G 07
113530	b,H 08
114010	Adap/G,b,UM
114010	AdapRight,b, UM
114030	Adap/G,e,UM
114030	AdapRight,e, UM
115561	WINDOWS,e,
123090	WINDOWS,b,
124027	b,G 08
125080	e,H 08
126920	b,H 09
127486	e,G 08
130890	e,H 09
130891	b,G 09
132930	WINDOWS,e,
133453	WINDOWS,b,
135432	e,G 09
135690	b,H 10
137695	WINDOWS,e,
141400	WINDOWS,b,
143410	e,H 10
143567	b,G 10
144027	e,G 10
144720	b,H 11
147020	e,H 11
148594	b,G 11
149027	e,G 11
149420	b,H 12
152320	e,H 12
152648	b,G 12
154625	WINDOWS,e,
170425	WINDOWS,b,
172432	e,G 12
172864	b,H 13
174850	WINDOWS,e,
185275	WINDOWS,b,
187297	e,H 13
187918	b,G 13
189038	e,G 13
189189	b,H 14
191432	e,H 14
192756	b,G 14
194729	b,H 15
194729	e,G 14
196725	WINDOWS,e,
201875	WINDOWS,b,
203891	e,H 15
205027	b,G 15
207035	WINDOWS,e,
212040	AdGuestWhenSpeaking,b,S-Head t18
212040	Adap/G,b,S-Head
212070	AdGuestWhenSpeaking,e,S-Head t18
212070	Adap/G,e,S-Head
